,NO2,SO2
6672,21.20,"0,425"
6673,33.85,"1,1"
6674,64.15,"2,45"
6675,6.80,0
6676,4.00,0
6677,16.30,0
6678,29.80,"0,45"
6679,21.80,"0,9"
6680,32.60,"0,7"
6681,20.75,"6,425"
6682,21.85,0
6683,30.10,"1,175"
6684,55.50,"2,25"
6685,19.30,"1,15"
6686,18.05,"0,25"
6687,20.35,"1,8"
6688,12.80,"0,55"
6689,17.10,"0,025"
6690,14.50,"0,575"
6691,17.45,"0,9"
6692,16.10,"0,525"
6693,14.00,"0,05"
6694,13.20,"0,45"
6695,28.90,"0,1"
6696,13.65,"0,95"
6697,16.60,"0,275"
6698,17.65,"1,125"
6699,15.95,"0,75"
6700,26.00,"0,825"
6701,12.80,"0,475"
6702,16.95,"2,175"
7017,66.70,"2,35"
7018,57.40,"7,8"
7019,36.00,"3,7"
7020,23.40,"5,5"
7021,22.30,"1,4"
7022,16.80,"2,45"
7023,24.10,"1,8"
7024,23.20,"2,2"
7025,29.50,"2,4"
7026,27.40,"2,55"
7027,19.90,"5,45"
7028,54.60,"3,95"
7029,61.50,"2,25"
7030,65.70,"2,6"
7031,66.20,"2,1"
7032,63.60,"3,4"
7033,17.20,"1,9"
7034,18.70,"4,5"
7035,19.80,"1,9"
7036,16.3,"1,45"
7037,18.7,"1,9"
7038,22.7,"1,7"
7039,17.1,"1,25"
7040,15.5,"1,55"
7041,17.6,"1,65"
7042,9.0,"2,1"
7043,26.4,"2,8"
7044,22.0,"3,3"
7045,19.4,"1,5"
7046,34.6,"2,15"
7047,33.1,"2,8"
